primary_code,domicile_id,asset_universe,,
40000039,USA,Mutual Funds,,
40000098,USA,Mutual Funds,,
40000152,USA,Mutual Funds,,
40000173,USA,Mutual Funds,,
40000175,USA,Mutual Funds,,
40000176,USA,Mutual Funds,,
40000190,USA,Mutual Funds,,
40000215,USA,Mutual Funds,,
40000289,USA,Mutual Funds,,
40000316,USA,Mutual Funds,,
40000321,USA,Mutual Funds,,
40000339,USA,Mutual Funds,,
40000365,USA,Mutual Funds,,
40000391,USA,Mutual Funds,,
40000396,USA,Mutual Funds,,
40000414,USA,Mutual Funds,,
40000438,USA,Mutual Funds,,
40000449,USA,Mutual Funds,,
40000471,USA,Mutual Funds,,
40000522,USA,Mutual Funds,,
40000524,USA,Mutual Funds,,
40000644,USA,Mutual Funds,,
40000669,USA,Mutual Funds,,
40000779,USA,Mutual Funds,,
40000787,USA,Mutual Funds,,
40000819,USA,Mutual Funds,,
40000825,USA,Mutual Funds,,
40000846,USA,Mutual Funds,,
40000847,USA,Mutual Funds,,
40001066,USA,Mutual Funds,,
40001089,USA,Mutual Funds,,
40001160,USA,Mutual Funds,,
40001176,USA,Mutual Funds,,
40001258,USA,Mutual Funds,,
40001363,USA,Mutual Funds,,
40001386,USA,Mutual Funds,,
40001459,USA,Mutual Funds,,
40001594,USA,Mutual Funds,,
40001634,USA,Mutual Funds,,
40001866,USA,Mutual Funds,,
40001968,USA,Mutual Funds,,
40003387,USA,Mutual Funds,,
40003569,USA,Mutual Funds,,
40003714,USA,Mutual Funds,,
40003764,USA,Mutual Funds,,
40003765,USA,Mutual Funds,,
40003768,USA,Mutual Funds,,
40003795,USA,Mutual Funds,,
40003970,USA,Mutual Funds,,
40004035,USA,Mutual Funds,,
40004105,USA,Mutual Funds,,
40004106,USA,Mutual Funds,,
40004357,USA,Mutual Funds,,
40004417,USA,Mutual Funds,,
40004532,USA,Mutual Funds,,
40004550,USA,Mutual Funds,,
40004551,USA,Mutual Funds,,
40004671,USA,Mutual Funds,,
40004728,USA,Mutual Funds,,
40005011,USA,Mutual Funds,,
40005030,USA,Mutual Funds,,
40005237,USA,Mutual Funds,,
40005285,USA,Mutual Funds,,
40005445,USA,Mutual Funds,,
40005523,USA,Mutual Funds,,
40005555,USA,Mutual Funds,,
40005633,USA,Mutual Funds,,
40005654,USA,Mutual Funds,,
40005676,USA,Mutual Funds,,
40005687,USA,Mutual Funds,,
40005698,USA,Mutual Funds,,
40005961,USA,Mutual Funds,,
40006293,USA,Mutual Funds,,
40006311,USA,Mutual Funds,,
