primary_code,t_date,fund size
40000152,10/31/2019,4472100000
40000173,10/31/2019,16159500000
40000175,10/31/2019,6932500000
40000339,10/31/2019,9089500000
40000365,10/31/2019,11379800000
40000438,10/31/2019,3490800000
40000449,10/31/2019,925900000
40000825,10/31/2019,1202200000
40004105,10/31/2019,20826300000
40005687,10/31/2019,854300000
40056077,10/31/2019,1.90915E+11
40061133,10/31/2019,2.75288E+11
40068874,10/31/2019,104800000
40079222,10/31/2019,2120500000
40088065,10/31/2019,66223500000
40088196,10/31/2019,26266400000
40115682,10/31/2019,4951400000
40119505,10/31/2019,10741200000
40186203,10/31/2019,5.00656E+11
40188923,10/31/2019,3834200000
40189874,10/31/2019,3000000
40191208,10/31/2019,7103900000
40196430,10/31/2019,208100000
40196435,10/31/2019,48700000
40204842,10/31/2019,133400000
40212239,10/31/2019,28700000
60000008,10/31/2019,160854494
60000012,10/31/2019,2315127818
60000014,10/31/2019,58558344
60000026,10/31/2019,207761070
60000038,10/31/2019,793509044
60000046,10/31/2019,364802911
60000047,10/31/2019,213794077
60000048,10/31/2019,39278628
60000170,10/31/2019,26160983872
60000174,10/31/2019,784555635
60000178,10/31/2019,837436541
60000185,10/31/2019,21272295813
60000189,10/31/2019,641847339
60000203,10/31/2019,201959834
60000206,10/31/2019,769311831
60000213,10/31/2019,562717032
60000216,10/31/2019,157159826
60000220,10/31/2019,1746134339
60000229,10/31/2019,54391961
60000256,10/31/2019,144752064
60000486,10/31/2019,11294471
60000664,10/31/2019,553875071
60000665,10/31/2019,232341004
60000672,10/31/2019,331919589
60000674,10/31/2019,546699774
60000677,10/31/2019,91754384
60000678,10/31/2019,67091039
60000679,10/31/2019,36948637
60000680,10/31/2019,1505248897
60000681,10/31/2019,71357832
60000684,10/31/2019,372131790
60000685,10/31/2019,55771248
60000700,10/31/2019,18298027
60000897,10/31/2019,194059974
60001810,10/31/2019,85132634
60001816,10/31/2019,475304199
60001817,10/31/2019,319942204
60001819,10/31/2019,52043908
60001820,10/31/2019,287608160
60001821,10/31/2019,11023635
60001822,10/31/2019,162122590
60001824,10/31/2019,130171180
60001829,10/31/2019,74789106
60001830,10/31/2019,244486320
60002131,10/31/2019,74204202
60002133,10/31/2019,1698669040
60002353,10/31/2019,75711400
60002421,10/31/2019,609994542
60002422,10/31/2019,59007923
60002423,10/31/2019,229271564
60002424,10/31/2019,161552758
60002851,10/31/2019,462697406
60002852,10/31/2019,1323931810
60002856,10/31/2019,2718788384
60002858,10/31/2019,283300423
60002859,10/31/2019,33090132
60002861,10/31/2019,637936442
60002905,10/31/2019,453942757
60002906,10/31/2019,769987475
60002907,10/31/2019,1173567754
60002910,10/31/2019,53288126
60002911,10/31/2019,209200347
60002914,10/31/2019,1329968316
60002973,10/31/2019,51033027
60003061,10/31/2019,15549836
60003063,10/31/2019,21878509
60003110,10/31/2019,471578400
60003137,10/31/2019,22770028
60003145,10/31/2019,1203585134
60003168,10/31/2019,1755807038
60003170,10/31/2019,129106627
60003179,10/31/2019,87085644
60003182,10/31/2019,1710574649
60003247,10/31/2019,325406838
60003250,10/31/2019,1488190700
60003317,10/31/2019,19963249
60003321,10/31/2019,3131248517
60003332,10/31/2019,2400435316
60003342,10/31/2019,495206483
60003348,10/31/2019,355883205
60003353,10/31/2019,194293828
60003360,10/31/2019,175762184
60003373,10/31/2019,1464366128
60003377,10/31/2019,26707225
60003382,10/31/2019,158355449
60003392,10/31/2019,612849466
60003394,10/31/2019,781697467
60003395,10/31/2019,281016924
60003397,10/31/2019,22381164
60003402,10/31/2019,200400671
60003404,10/31/2019,58684707
60003408,10/31/2019,2206713132
60003409,10/31/2019,614539302
60003411,10/31/2019,143478446
60003412,10/31/2019,59731648
60003419,10/31/2019,286070956
60003441,10/31/2019,26331341
60003442,10/31/2019,31645131
60003444,10/31/2019,22666748
60003460,10/31/2019,5068168518
60003525,10/31/2019,2171474789
60003657,10/31/2019,202236222
60003660,10/31/2019,39129839
60003662,10/31/2019,18411589
60003703,10/31/2019,27884604
60003980,10/31/2019,300915400
60003983,10/31/2019,107968800
60003986,10/31/2019,211717100
60003988,10/31/2019,53113600
60003991,10/31/2019,120410800
60004010,10/31/2019,33697252
60004079,10/31/2019,1236847929
60004132,10/31/2019,584143294
60004142,10/31/2019,2140929593
60004152,10/31/2019,2408535061
60004171,10/31/2019,193879826
60004172,10/31/2019,14407304270
60004192,10/31/2019,1070406362
60004203,10/31/2019,90869852
60004208,10/31/2019,1944943156
60004245,10/31/2019,429612847
60004253,10/31/2019,429845837
60004265,10/31/2019,2552302773
60004273,10/31/2019,5038696333
60004470,10/31/2019,31030100
60004473,10/31/2019,108337400
60004475,10/31/2019,181946636
60004497,10/31/2019,168969340
60004513,10/31/2019,261333700
60004524,10/31/2019,2284972412
60004533,10/31/2019,175623200
60005171,10/31/2019,214745028
60005752,10/31/2019,16485997
60005753,10/31/2019,21018453
60005754,10/31/2019,68248446
60005763,10/31/2019,80395738
60005764,10/31/2019,40700582
60005765,10/31/2019,6791960
60005767,10/31/2019,5187131
60005769,10/31/2019,13019232
60005770,10/31/2019,14282466
60006201,10/31/2019,30751073
60006363,10/31/2019,347002138
60006442,10/31/2019,359346878
60006480,10/31/2019,265883391
60006481,10/31/2019,10487087235
60006484,10/31/2019,925579213
60006488,10/31/2019,445608483
60006490,10/31/2019,372858950
60006495,10/31/2019,862243465
60006496,10/31/2019,782917761
60006498,10/31/2019,842517428
60006500,10/31/2019,710014456
60006501,10/31/2019,13877097316
60006503,10/31/2019,103785500
60006508,10/31/2019,940283527
60006510,10/31/2019,147921784
60006511,10/31/2019,525824100
60006716,10/31/2019,54062156
60006717,10/31/2019,728523117
60006718,10/31/2019,5504876
60006721,10/31/2019,26828156
60006728,10/31/2019,15922399
60006730,10/31/2019,6416422
